Date,Chamber,Number,MP,Constituency,Party,Statement
02/02/2010,Commons,81,Laura Moffatt,Crawley,Lab,"I congratulate my honourable Friend the Member for Bedford on raising this important issue. As a member of the all-party group, I have learned exactly what the Thameslink programme will mean for our constituents, which is why we have put in extra work looking at improvements, watching out for the things that will affect our constituents and trying to intervene through debates such as this. It is a pleasure to be here, although I shall take only a couple of minutes to speak, so that all honourable Members get an opportunity to contribute to this important debate."
02/02/2010,Commons,82,Laura Moffatt,Crawley,Lab,"We are here because of our constituents. The lives of some have been disrupted by what, in many ways, is the First Capital Connect debacle, and people have had a difficult time. It is hard for us as Members of Parliament fighting for improvements to Thameslink to see our constituents experience that totally avoidable disruption to their lives; all those of us who travel into London every day understand exactly what they are going through. Having their rail journeys disrupted is truly upsetting and can make the rest of their day a miserable experience. That is the last thing that we want."
02/02/2010,Commons,83,Laura Moffatt,Crawley,Lab,"We understand what the  5.5 billion of improvements will mean. Those of us who were lucky enough to take a cab to look at the magnificent improvements around King s Cross and at the amazing work that is going on there were immensely proud to see that we can have first-class rail travel services. As I said, we are all here for our constituents, and although we have a firm eye on the Olympics and on the important improvements that can be put in place for people travelling into London certainly from Gatwick airport that is a bit of a side issue; we are talking about our constituents and ensuring that their journey times are good."
02/02/2010,Commons,84,Laura Moffatt,Crawley,Lab,"Of course, we also want to ensure that our constituents  journeys are safe. Like my honourable Friend the Member for Luton, North (Kelvin Hopkins), I have been concerned about the loss of engineering jobs at Network Rail. That is because we have been listening to people who know and love the railways and who understand what that loss might mean. I am delighted that the Office of the Rail Regulator is now keeping a close eye on what Network Rail is up to, to ensure that my constituents are safe."
02/02/2010,Commons,85,Laura Moffatt,Crawley,Lab,"We need to know that the Thameslink upgrade programme will be completed in its entirety; if it were not, that would be a travesty of justice. We have sold the whole programme to our constituents on the basis that their lives as members of the travelling public will be massively improved soon, in five years. That is what people deserve. We know the prosperity that the changes will bring. When we were at school, we understood how important the Stockton-to-Darlington railway was and what improvements and prosperity it brought to communities. In the same way, we know that the current programme will improve the way in which people live and work in the south-east. That is why we are so desperate to see the programme finished in its entirety."
02/02/2010,Commons,86,Laura Moffatt,Crawley,Lab,"I completely understand that those who have to make a decision about the two remaining competitors for the Thameslink rolling stock project must be extremely careful, but I do not have to be. I should say that I am convinced that the Bombardier project needs to be selected. I went on an Industry and Parliamentary Trust transport group visit to look at the trains being constructed in Derby, and I was utterly blown away by the professionalism that I saw. As we know, there have been difficulties, but those involved have held their hands up, and we can move on. I am firmly putting my flag up for the Bombardier team and I hope that it gets the project."
02/02/2010,Commons,87,Laura Moffatt,Crawley,Lab,"The Thameslink programme is enormous. If we go to the Network Rail and Thameslink programme website, it is hard even to conceive of the number of projects that are running at one time it is tremendous. People should look at the magnificent depot proposed for Three Bridges, which is the central station in my constituency. The project will provide 300 new jobs, but I need the Minister to reassure me that it will go ahead so that we can look forward to restoring Three Bridges and making it the major hub that it was many years ago. When I was a small baby, my parents moved to Crawley New Town, and Three Bridges was at the heart of the train service. We look forward to those days returning. The Minister has been fantastic on train issues, and I ask him to reassure us that the Thameslink programme is safe in the Government s hands."
02/02/2010,Commons,88,Laura Moffatt,Crawley,Lab,"As the honourable Member for North Southwark and Bermondsey (Simon Hughes) asked, can we ensure that information is there for passengers and gives them the opportunity to know when there will be disruptions? Major improvements mean disruption for our constituents, so we need to let them know what is going on. I have been impressed by the information that has been put in place so far, but that needs to continue. Let us see the Thameslink programme benefit all our constituencies, so that we can be proud of it for many years to come."
02/02/2010,Commons,89,Mr. Bob Laxton,"Derby, North",Lab,"I congratulate my honourable Friend the Member for Bedford (Patrick Hall) on securing this debate. I acknowledge no, more than acknowledge the comments made by my honourable Friend the Member for Crawley (Laura Moffatt) about awarding the contract to Bombardier, which is a UK-based company."
02/02/2010,Commons,90,Mr. Bob Laxton,"Derby, North",Lab,"It is clear from the debate that some honourable Members in the Chamber have far more knowledge about the ins and outs and the nuts and bolts of the Thameslink route than I do. My expertise, if I have any, comes from my home city of Derby. I want briefly to reinforce the points that I made in my intervention."
02/02/2010,Commons,91,Mr. Bob Laxton,"Derby, North",Lab,"Although Bombardier in Derby has a reasonable amount of work, it will be disastrous if the company fails to win the Thameslink contract, because it would effectively run out of work over the next couple of years. As a result of what is happening in the world economy, the UK wants to rebuild its industry, to get people back into work and to sustain them in work."
02/02/2010,Commons,92,Kelvin Hopkins,"Luton, North",Lab,"I absolutely support my honourable Friend s point that the contract should go to Bombardier. However, this is about not only Bombardier, but British manufacturing and the loss of skills. If we ever lost that manufacturing capacity, it would be almost impossible to recreate, and our balance of trade deficit, which is already massive, would become even larger. We would be on the way to ceasing to be a manufacturing nation, with seriously damaging consequences for the long term."
02/02/2010,Commons,93,Mr. Bob Laxton,"Derby, North",Lab,I agree entirely. That is why it is vital that a UK-based company should win the work.
02/02/2010,Commons,94,Mr. Bob Laxton,"Derby, North",Lab,"I am on record as being somewhat critical that is perhaps an understatement of some of the ordering processes at the Department for Transport. The most recent example involved the inter-city express contract being awarded to Agility Trains, a consortium that includes Hitachi of Japan. The contract was said to have the potential to create 12,500 jobs, but as we will find out in due course, there will be no manufacturing jobs or supply-chain jobs for UK plc. There might be a few hundred jobs maintaining the trains, although that would apply whoever won the contract, because maintenance depots would have to be established. I am particularly critical about that."
02/02/2010,Commons,95,Mr. Bob Laxton,"Derby, North",Lab,"I have a crucial question for the Minister: can he give us a clear indication of when the contract will be awarded? Derby is a centre of rail expertise. Perhaps it is also, to a degree, a centre of rail gossip; much of that is accurate, and the word out on the bush telegraph is that a decision to award the contract is likely to be made at the end of March. Can the Minister confirm that that is so, and, if not, will he make it clear when the decision will be taken although, of course, a period of negotiation is likely beyond that time?"
02/02/2010,Commons,96,Mr. Bob Laxton,"Derby, North",Lab,"I am interested in hearing the other speeches in the debate, and particularly the Minister s answer to my question. I also look forward to hearing his answers to the pertinent questions raised by my honourable Friend the Member for Bedford."
02/02/2010,Commons,97,Norman Baker,Lewes,LD,"I congratulate the honourable Member for Bedford on his speech and on the work that he has done with the all-party Thameslink route group. I checked this morning, and I am a member of that group; I am happy to be so."
02/02/2010,Commons,98,Norman Baker,Lewes,LD,"My remarks are predominantly about the long-term plans not too long term, I hope for the improvement of the railway line, but I want first to make one or two brief comments about First Capital Connect, because that is relevant to the Thameslink project."
02/02/2010,Commons,99,Norman Baker,Lewes,LD,"It is clear that First Capital Connect has let passengers down badly. There are serious issues about the rostering of train drivers and whether they will be expected to work overtime as a matter of course, which effectively creates vulnerability to working to rule. There is also the serious issue of whether more money should have been spent on training more train drivers. That is relevant to the parliamentary question, tabled by the honourable Member for Bedford, about the number of extra train drivers who would be required to operate the enhanced Thameslink service."
02/02/2010,Commons,100,Norman Baker,Lewes,LD,"The Minister gave a figure of 80, but I should be interested to know whether that assumes the existing working pattern for drivers or, as I hope, a more sensible approach to working pattern and arrangements for drivers. In passing, I should say that the consequences for the south of London have not perhaps been as bad as those for the north of London, partly because Southern has coped well with the unexpected problems that it has had to deal with because of First Capital Connect s inadequacies. The Minister will be aware that there is a considerable movement under way in the House in favour of First Capital Connect s having its franchise removed. I refer to the early-day motion tabled by my honourable Friend the Member for Sutton and Cheam (Mr. Burstow), which many honourable Members of all parties, I think have signed."
02/02/2010,Commons,101,Norman Baker,Lewes,LD,"Because the debate relates to the timetable and the 2015 dates and stages set out by the honourable Member for Bedford, it would be useful if the Minister said something about his intentions for the First Capital Connect franchise. It can end naturally in 2012, or be extended to 2015. It is, I think, clear that the Minister and the Department wanted to extend it to 2015, because of the coterminosity with the end of the Southern franchise, which was clearly in their minds."
02/02/2010,Commons,102,Norman Baker,Lewes,LD,"Many of my constituents, and those of other honourable Members present for the debate, might be unhappy to be told that there will be another five years with that company in charge, given how abysmally it has performed so far. A third option, of course, would be for the Minister to remove the franchise early, as happened with the Great North Eastern Railway and National Express. Some early clarification on that point would be helpful. If the Minister cannot give an answer today, can he say at what point the Government intend to make a statement of intention about the First Capital Connect franchise?"
02/02/2010,Commons,103,Kelvin Hopkins,"Luton, North",Lab,"The honourable Gentleman may have heard my question, following one from the honourable Member for North Southwark and Bermondsey (Simon Hughes), in Transport questions last week. The Minister was definitely open-minded about the future of the franchise. Indeed, the possibility of taking it back into public ownership was not ruled out."
02/02/2010,Commons,104,Norman Baker,Lewes,LD,"I heard that he was open-minded, but also that he was uncertain about the conclusion, which is why I thought it might be prudent to push the matter again today."
02/02/2010,Commons,105,Norman Baker,Lewes,LD,"The Thameslink programme is clearly a major investment, with major public benefit not just for rail passengers but for the economy of the areas that the route serves. It has had a long gestation. Rail schemes that were formulated decades ago seem to have taken an enormous amount of time to proceed. My honourable Friend the Member for North Southwark and Bermondsey (Simon Hughes) mentioned the fact that Thameslink used to be called Thameslink 2000, and that it is now 2010 but we still do not have it."
02/02/2010,Commons,106,Norman Baker,Lewes,LD,"It is important for all Members of Parliament to accept that we cannot stop-start rail projects of such magnitude. They need long-term planning and commitment, and stop-starting costs money in cancellation fees. It is also, frankly, an incoherent way to run public policy on railways. For those reasons, and because there has already been delay, and given the difficult financial situation to which the honourable Member for Orpington (Mr. Horam) referred, which doubtless will continue under the next Government of whatever colour, it is important not to take short-term decisions that damage the country in the medium and long terms and are financially incompetent. It is clear to me that there should be no reduction in the Thameslink programme as planned. That is the position that my party formally adopts, and will adopt for the general election. It would be helpful today, for future planning, if the Conservative spokesman and the Minister were to give similar assurances."
02/02/2010,Commons,107,Norman Baker,Lewes,LD,"There is no point in my repeating the specific questions put by the honourable Members for Bedford and for Luton, North, but they were germane to the nuts and bolts of the scheme and I hope that the Minister will respond in detail. If he cannot, I hope that perhaps, as a courtesy, he will write to all the Members who have attended the debate, with specific answers to those important questions."
02/02/2010,Commons,108,Norman Baker,Lewes,LD,"The question of the sliding doors was raised, and I confirm that it is a serious issue. It is important at the present design stage that that matter should be properly addressed. Either the doors should be changed or a mechanism should be introduced to prevent the sort of problem that occurred with the sliding doors of the 319s which, by the way, are regarded in the trade as dustbin trains. That is the current terminology. I see that we are to get some of them cascaded down to the Brighton-to-Eastbourne route by the Government. Perhaps the honourable Member for Brighton, Pavilion (David Lepper), who is no longer in the Chamber, may take an interest in that matter."
02/02/2010,Commons,109,Norman Baker,Lewes,LD,"The honourable Member for Orpington spoke about the funding of future transport schemes. It is important to make it plain at this point that, notwithstanding the economic difficulties that the country faces, there is a sensible economic case perhaps even more so because of the economic circumstances for investing in jobs, and particularly those that bring an environmental benefit, in the light of the challenge of climate change. That is why my party will make the creation of green jobs a priority at the general election."
02/02/2010,Commons,110,Norman Baker,Lewes,LD,"Railway investment fits firmly into that scenario. For that reason, I should be interested in the Minister s confirmation of plans for the introduction of new rolling stock. We have been promised 1,300 new carriages on many occasions. A bit like Billy Bunter s postal order, they never quite turn up; we are hoping that one day they will. Perhaps the Minister can give an answer about that and deal with the inconsistency in the timing, between 2012 and 2013, that has been mentioned in relation to Thameslink."
02/02/2010,Commons,111,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"I assure the honourable Gentleman that some of the high-level output specification additional rolling stock is already in service, and that I launched the Essex Commuter as a contribution to that only last month."
02/02/2010,Commons,112,Norman Baker,Lewes,LD,"I have no doubt that some are in service, but that is not quite the point that I was making, which was about the delivery date and in-service delivery date for the 1,300 vehicles that were referred to. That matter is difficult to pin down a bit like jelly."
02/02/2010,Commons,113,Norman Baker,Lewes,LD,"An important point that arises from the debate so far relates to through-London services. A couple of honourable Members have touched on that important issue. If we are to have major capacity constraints, as we do on the network all round London and it is not easy to see a solution in terms of creating extra capacity at the termini in London it is important to have efficient, fully working through-London services. Such services, with termination points either side of London, allow far more trains to be used than services that terminate at a London terminus, whose turn-around times mean that a much more limited number of trains can be got in and out of the station. Through-London services are important for enhancement of capacity, which is why the points made by the honourable Member for Luton, North, in particular, are important."
02/02/2010,Commons,114,Kelvin Hopkins,"Luton, North",Lab,"Two of my constituents work in south London, but only because they can travel through London on Thameslink. These services enhance job opportunities for millions of people."
02/02/2010,Commons,115,Norman Baker,Lewes,LD,"They do, and the opening of the Snow Hill tunnel has been a transformation. We ought to build on such changes."
02/02/2010,Commons,116,Norman Baker,Lewes,LD,"The Thameslink programme is crucial to London, as is the Crossrail project. It is important to have consistency and predictability. It would be a service to our constituents if all parties were able to commit to the project and remove any uncertainty."
02/02/2010,Commons,117,Stephen Hammond,Wimbledon,Con,"It is a great pleasure, Lady Winterton, to see you in the Chair. I congratulate the honourable Member for Bedford (Patrick Hall) on securing this debate."
02/02/2010,Commons,118,Stephen Hammond,Wimbledon,Con,"I shall not touch upon First Capital Connect rail services today, because we have an hour-and-a-half debate on the subject tomorrow. I shall target my remarks particularly on key output 2 of the Thameslink project, and later I shall ask some questions of the Minister."
02/02/2010,Commons,119,Stephen Hammond,Wimbledon,Con,"The honourable Member for Bedford was right to state that it is a long-running saga. The project was formerly called Thameslink 2000 some thought that it should have been Thameslink never and it is now the Thameslink programme. If it is to happen, it will be delivered by 2015."
02/02/2010,Commons,120,Stephen Hammond,Wimbledon,Con,"A number of interesting and thoughtful contributions have been made to the debate, and I shall refer to them during my remarks. The Thameslink programme is split into two key delivery phases key outputs 1 and 2 and as the honourable Member for Bedford so correctly said, the preparatory phase was delivered in 2009. Key output 1 includes the building of a new station at Blackfriars, the transformation of Farringdon and a number of platform-lengthening schemes."
02/02/2010,Commons,121,Stephen Hammond,Wimbledon,Con,"One of the pleasures of contributing to such debates is that I speak not only for my party but for my constituents, who are affected by Thameslink. One matter that has been referred to a number of times is the ability to allow through traffic. On a parochial basis, speaking on behalf of my constituents, I have a question for the Minister. The Secretary of State kindly promised that when the draft timetable was published he would consider whether the Sutton loop could allow through trains to St. Pancras, rather than every train having to stop at Blackfriars. Will the Minister confirm that my constituents can still rely on that promise?"
02/02/2010,Commons,122,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"I assure the honourable Gentleman that the development of the detailed timetable is a task for the future, and we will consider the matter carefully."
02/02/2010,Commons,123,Stephen Hammond,Wimbledon,Con,I shall keep that promise tucked away.
02/02/2010,Commons,124,Stephen Hammond,Wimbledon,Con,"Key output 2 is crucial. A number of Members have referred to it, and questions have touched on the subject. This debate gives the Minister the chance to confirm or deny many things. The main part of key output 2, as we heard, is the rebuilding of track, the rebuilding of London Bridge station and the letting of the rolling-stock contracts. In total, the latter would facilitate the running of 24 12-car trains an hour through the core section. The programme will include signal alterations, new platforms and the complete reorganisation of the underground station. It is all very exciting."
02/02/2010,Commons,125,Stephen Hammond,Wimbledon,Con,"Today s debate is welcome because, as the honourable Member for Derby, North (Mr. Laxton) said, the railway industry is one of rumour and bush telegraph; it has also given rise to a huge number of railway magazines and learned journals. I have a number of questions for the Minister; he might wish to answer them or at least clarify the Government s position."
02/02/2010,Commons,126,Stephen Hammond,Wimbledon,Con,"The works on the track and at London Bridge station are key parts of the Mayor of London s strategy, and they support the entire economic and transport capacity of London and the south-east. However, it is widely rumoured, not only in the article referred to earlier, that the rebuild and the track works are considerably over the budget set by Network Rail and the Government. The cost evaluation has been undertaken through Network Rail s guide to railway investment projects GRIP process."
02/02/2010,Commons,127,Stephen Hammond,Wimbledon,Con,"Will the Minister tell us whether GRIP stage 3 is now complete? Will he say what is the scale of the overruns against the original allocated budget for key output 2 is it  500 million,  600 million,  700 million or  800 million? Will he confirm that Network Rail s proposed solution is not to bring the costs back into line but to de-scope the project? Will he confirm that the Mayor of London has written to the Secretary of State, pointing out what many Members have said that only if full output is achieved for the allocated budget will we get the real benefits of the project, otherwise the viability of the scheme will be undermined?"
02/02/2010,Commons,128,Stephen Hammond,Wimbledon,Con,"It is widely anticipated I am sure that the Minister will be aware of this that Network Rail will seek to change the plans for London Bridge construction. In the original output 6A, the specification proposal was for nine through platforms rather than six. I understand that the sponsor team has iterated that specification and reiterated it to Network Rail. Network Rail has not come up with a plan to deliver nine through platforms within the allocated budget and with acceptable passenger congestion. Will the Minister confirm that Network Rail does not propose building nine through platforms? Will he give an estimation of the impact on through trains, with trains not being able to stop at London Bridge, if we do not get the full scaling of the project?"
02/02/2010,Commons,129,Stephen Hammond,Wimbledon,Con,"There is a major design issue here. If those through platforms are not delivered, I understand that a redesign of the entry and exit points to the underground station will be necessary, which will involve a renewed planning application. Will the Minister confirm that that is so, and if so what will be the overall delay to the scheme? Will he confirm that it is the Government s intention to ask Network Rail to respond to option 6A for London Bridge with a realistic operational and cost proposition? If the Government do not intend to do so now, exactly when will it happen? We heard earlier about the Bedford depot, but will the Minister deal with the rumour that the Hornsey depot, which is crucial to the stabling of trains, is also under threat from local planning requirements, and that the local council is likely to refuse that application?"
02/02/2010,Commons,130,Stephen Hammond,Wimbledon,Con,"Thameslink, through its procurement process, is supposed to deliver 24 12-car trains an hour. Rumours are circulating on the bush telegraph that the number is to be reduced from 24 to 20. Will the Minister tell us that that will not happen? Will he confirm that preferred bidders have been asked to retender on the basis of 20 trains, or have the Government given no advice on that? Will he say whether he has taken consequential legal advice on the Thameslink procurement contract? If there is to be a de-scoping of the contract for the Thameslink programme, will the whole contract have to be retendered? Many of us have asked when the Minister will be making the Thameslink procurement announcement. Can we expect it at the end of March? If so, can we take it that 24 trains an hour will be delivered?"
02/02/2010,Commons,131,Stephen Hammond,Wimbledon,Con,"While on the subject of procurement, the Minister did not answer the question about the 1,300 vehicles nor did I expect him to. However, I wish to test him on a couple of other procurement matters. Will he confirm that the financial bidder for Agility Trains has withdrawn, and that the Government are retendering that contract to rolling-stock leasing companies? Will he also confirm that the Government do not intend to buy the extra 42 Pendolinos to allow the west coast main line to run 11-car trains rather than nine-car trains?"
02/02/2010,Commons,132,Stephen Hammond,Wimbledon,Con,"Finally, on the subject of signalling, will the Minister confirm whether Network Rail proposes abandoning automatic train operation and giving no consideration to ERTMS, the European rail traffic management system, but have decided instead to revert entirely to manual signalling? What implications will that have for the effectiveness of the delivery of the Thameslink programme?"
02/02/2010,Commons,133,Norman Baker,Lewes,LD,"As the honourable Gentleman has asked the Minister many questions, may I ask him one? If there is a Conservative Government after the next election, will he ring-fence the project so that it will proceed, or will the shadow Chancellor consider it for a potential cut?"
02/02/2010,Commons,134,Stephen Hammond,Wimbledon,Con,I need the answers to all my questions before I can make a reasonable judgment on that question.
02/02/2010,Commons,135,Stephen Hammond,Wimbledon,Con,"I have asked the Minister a number of detailed and specific questions that are germane to this project and to people being able to decide how the project will proceed. If the Minister cannot answer all those questions now, will he agree to provide written answers to them?"
02/02/2010,Commons,136,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"I congratulate my honourable Friend the Member for Bedford on securing this debate. As  chair of the all-party group on the Thameslink route, he obviously has a particular interest in the subject. I will try not to be diverted by questions on the recent performance of First Capital Connect, because there will be an hour-and-a-half debate on the subject tomorrow."
02/02/2010,Commons,137,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"I welcome the opportunity to outline the good progress that is being made in delivering this vital programme that will transform the travel experience for many thousands of commuters in London and the south-east of England. The Thameslink programme is one of the Government s key transport priorities announced in the 2007 White Paper,  Delivering a Sustainable Railway ù."
02/02/2010,Commons,138,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"The programme is a crucial part of our strategy to tackle chronic overcrowding on commuter routes the honourable Member for Orpington (Mr. Horam) illustrated that well in his contribution to provide capacity for future growth; and to deliver long-term benefits for passengers, the environment and the UK economy. Such a strategy is being achieved through a comprehensive modernisation programme, which will provide new and longer trains, upgraded stations and more frequent services through the centre of London, with up to 24 trains per hour in both directions."
02/02/2010,Commons,139,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"The Thameslink programme aims to reduce crowding on current Thameslink and other commuter services; and to provide for the introduction of new cross-London services, so improving public transport accessibility in south-east England. For example, it will be possible to take a train direct from Cambridge to Gatwick airport, which must be good news for my honourable Friend the Member for Crawley (Laura Moffatt). The programme will also reduce the need for interchange between mainline and London underground train services and therefore reduce overcrowding on the underground, especially the Victoria and Piccadilly lines and the City branch of the Northern line. It will improve the reliability of train services operating through the core route section between London Bridge or Elephant and Castle and St. Pancras."
02/02/2010,Commons,140,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"The programme itself delivers very substantial transport and revenue benefits in the region of  10 billion over the life of the programme. Those benefits are primarily due to the increased capacity and frequency that the scheme provides into and through central London, which, I think, answers the question of the honourable Member for Lewes (Norman Baker). The strength of the business case is such that everyone should support the scheme."
02/02/2010,Commons,141,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"To deliver such benefits, major project works will be required in central London, which some have described as the equivalent of doing open-heart surgery on the centre of London. The most significant works will be at London Bridge station, where it will be necessary to widen the railway viaduct at the western side of the station at Borough, which the honourable Member for North Southwark and Bermondsey (Simon Hughes) mentioned."
02/02/2010,Commons,142,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"Blackfriars and Farringdon stations are also being rebuilt and platforms are being extended at a large number of stations, both north and south of London, to enable them to be used by 12-carriage trains. Moreover, a new state of the art fleet of trains is being procured to replace the existing fleet and provide the capacity for the 24 trains per hour service. They will be the next-generation electric commuter trains and will be fully accessible for mobility-impaired users. I note the comments of my honourable Friend the Member for Bedford about freezing conditions. The new trains must be able to cope with 24 trains per hour through the core. They will have high specifications, which will deal with issues such as freezing conditions."
02/02/2010,Commons,143,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"I am pleased to say that significant progress has been made in delivering the programme, which has been split into three distinct phases. Key output 0 was an enabling phase and saw the introduction, on 22 March 2009, of a new Thameslink train timetable requiring dual voltage trains. My honourable Friend the Member for Luton, North (Kelvin Hopkins) referred to the challenges of operating with the dual voltage train regime."
02/02/2010,Commons,144,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"Key output 1 involves the construction of Blackfriars and Farringdon stations, which, together with platform extensions along the midland main line, will allow longer 12-carriage trains to operate from Bedford to destinations south of London, and there will be up to 15 trains per hour through central London. The infrastructure capability from such works is due to be available at the end of 2011."
02/02/2010,Commons,145,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"Key output 2 provides the full functionality of the Thameslink programme. There will be 24 trains per hour through the central core section, which will be achieved through the resignalling and reconstruction of London Bridge station and its approaches together with a new fleet of approximately 1,200 vehicles. That stage is scheduled to be completed from December 2016."
02/02/2010,Commons,146,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,The first enabling phase of the programme was successfully introduced on 22 March 2009. It involved the closure of the bay platforms at Blackfriars and the closure of the Thameslink Moorgate branch. That was achieved by linking the north and south services together and running them through the core central London Thameslink route using additional new dual voltage trains.
02/02/2010,Commons,147,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"The key output 0 element of the programme was delivered on time and on budget despite supply difficulties with the new trains. Much of the success can be attributed to excellent co-operation across the rail industry, where temporary measures were put in place to supply dual voltage trains to mitigate supply problems."
02/02/2010,Commons,148,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,I am pleased to report that all the required 23 dual voltage trains have been delivered and are now in service with First Capital Connect. All temporary rolling-stock mitigation measures that were in place since March 2009 have now been withdrawn.
02/02/2010,Commons,149,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"The objective of key output 1 is to deliver interim benefits before the full scheme key output 2 is completed. By December 2011, key output 1 will deliver the infrastructure capability to operate longer 12-carriage trains from the midland main line through the central core route and beyond. The scope of the works includes lengthening platforms on the midland main line to 12-carriage trains; major rebuilding of Farringdon station, including new ticket halls and interchange with Crossrail; the total reconstruction of Blackfriars station, including a new underground station, new platforms spanning the Thames on a widened bridge and an additional south bank ticket hall; and enhancements to rail systems involving signalling, power, communications and track, which should address some of the concerns of my honourable Friend the Member for Luton, North."
02/02/2010,Commons,150,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"Network Rail made excellent progress over the Christmas period in completing critical works at Blackfriars where a new bridge was installed, at Farringdon where work to enable the integrated Crossrail ticket hall began, and at St. Pancras where new signalling was installed. Network Rail forecasts that the works for key output 1 can be completed to budget and on time. The 12-carriage infrastructure capability will be delivered by the baseline target date of December 2011. Such an improvement will provide significant crowding relief benefits to commuters on the midland main line and will be the first significant step change in capacity arising from the Thameslink programme."
02/02/2010,Commons,151,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"The full functionality of the Thameslink programme, which is 24 trains per hour through the central London core section, is achieved through the resignalling and reconstruction of London Bridge station and its approaches, together with a new fleet of approximately 1,200 carriages, referred to as key output 2, and is scheduled to be delivered from 2016."
02/02/2010,Commons,152,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"Key elements of scope include: major reconstruction of London Bridge station and approaches, including a new flyover at Bermondsey and a new viaduct at Borough market; a link to the east coast main line, north of St. Pancras Thameslink station; 12-carriage length platforms on outer areas south of London and on the east coast main line to Cambridge; enhancements to signalling, communications, power and track; stabling and depot connections; and automatic train operation through the core central London section. That answers the concern of the honourable Member for Wimbledon (Stephen Hammond) about the future of ATO."
02/02/2010,Commons,153,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"In relation to depots, let me tell my honourable Friend the Member for Bedford that the Bedford depot will be kept in the short term to service the residual class 319 fleet until the full fleet of new trains arrive. In the long term, it will be kept for stabling for the eight-car element of the fleet of new trains."
02/02/2010,Commons,154,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"Let me tell my honourable Friend the Member for Crawley that the project at Three Bridges is progressing well, and that no problems have been identified there."
02/02/2010,Commons,155,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"Work has already started on widening the viaduct at Borough to the west of London Bridge station. That section of track is one of the most congested in the country, and is currently the key bottleneck for existing Thameslink services. For the remainder of key output 2, planning and optioneering are progressing very well, with final options being examined in detail by Network Rail. Significantly, a major upgrade is due to start at London Bridge station in the autumn."
02/02/2010,Commons,156,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"The honourable Member for Wimbledon asked me innumerable questions, which I may have to write to him about."
02/02/2010,Commons,157,Patrick Hall,Bedford,Lab,Will the Minister take the opportunity to make it crystal clear that he and the Government are committed to completing the Thameslink programme?
02/02/2010,Commons,158,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"My honourable Friend stopped me from getting to my next paragraph. I wanted to say that the construction works at London Bridge are due to start in the autumn of 2012, following the closure of the Olympic games."
02/02/2010,Commons,159,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,The Department for Transport is closely monitoring the costs of the Thameslink programme. We and our industry partners are both committed to and totally focused on delivering the full 24 trains per hour output to an affordable budget. Costs are constantly challenged across the entire programme to ensure that it remains affordable.
02/12/2010,Commons,1,Gavin Shuker,Luton South,Lab/Co-op,What steps he is taking to ensure that the Thameslink project is completed on time.
02/12/2010,Commons,2,Philip Hammond,The Secretary of State for Transport,Con,"As I confirmed on 25 November, the Thameslink programme will go ahead in full. To improve delivery confidence, we will defer completion of the full programme, allowing 24 trains per hour in each direction, until 2018. This will reduce both cost and risk, particularly in respect of the reconstruction of London Bridge station. Passengers will start to see benefits from December 2011, when works at Blackfriars will be completed, and some 12-car trains will start to run from Bedford through to Brighton."
02/12/2010,Commons,3,Gavin Shuker,Luton South,Lab/Co-op,"As the Secretary of State will be aware, many of my constituents are struggling to get into work this morning on the existing rolling stock. New rolling stock is therefore vital as part of the Thameslink upgrade. Would he be willing to share the time scales for delivery of such rolling stock and place the information on record in the House?"
02/12/2010,Commons,4,Philip Hammond,The Secretary of State for Transport,Con,"It is expected that the new Thameslink rolling stock 1,200 vehicles will start to be delivered in 2015, and delivery should be completed by 2019."
